시도,latitude,longitude
서울특별시,37.51953536222316,126.86991306671304
서울특별시,37.52385819057808,126.84239343213567
서울특별시,37.559838467768,126.847028675022
서울특별시,37.531844,126.82983
서울특별시,37.569615,126.819528
서울특별시,37.5129492,126.845414
서울특별시,37.5518565943,126.8247074755
서울특별시,37.5401156047,126.8837631021
서울특별시,37.564275,126.820538
서울특별시,37.564076,126.819977
서울특별시,37.515688,126.830737
서울특별시,37.55097481545091,126.82859228192532
서울특별시,37.5768026767,126.810285497
서울특별시,37.5498760484,126.8258211289
서울특별시,37.5794084299,126.812592887
서울특별시,37.558829,126.820478
서울특별시,37.564285,126.800266
서울특별시,37.554381,126.864052
서울특별시,37.5516160358,126.8733338342
서울특별시,37.5664707563,126.8481216583
서울특별시,37.5382091944,126.8700345133
서울특별시,37.5359873615,126.8290440925
